X1,Brand,Name,Old.Price,New.Price,ml,Concentration,Department,Scents,Base,Middle,Item.Rating,Seller,Seller.Rating,Number.Of.Sellers.Ratings,Change.In.Price,Change.In.Price.Percentage,Rating.Numbers
139,HERMES,Terre D' Hermes,474,173,100,EDT,Men,Citrus,"woody notes, patchouli, cedar",geranium,3.9,Boutique Wareef,4.2,98.1K,301,63.5,98100
140,Alrehab,Anfas Aloud,215,85.5,60,EDP,Unisex,Arabian,oud,bergamot,5,Parisian Store,4.1,425,129.5,60.23,425
141,EMPORIO ARMANI,Because It's You,483,154.7,100,EDP,Women,Floral,"Musk, Vanilla, Amberwood",Rose,4.9,Al-Najm,3.7,347,328.3,67.97,347
142,Genie,London Burberry,29,14.95,25,EDP,Women,Floral,"Wood, Musk","Jasmine, Tiare Flower, Soft Peony",4.7,moon perfume,3.7,199,14.05,48.45,199
143,Roberto Cavalli,Women,430,103,75,EDP,Women,Arabian,"Benzoin, Tonka Beans, Vanilla",Orange Tree Blossom,5,rich&light,3.8,69,327,76.05,69
144,LALIQUE,Lalique,541,249,100,EDP,Women,Woody,"White Musk, Sandalwood, Vanilla","Blackberry, Cassis, Pear",4.4,Faces,3.9,61,292,53.97,61
145,Franck Olivier,Oud Touch,93,93,100,EDP,Men,Woody,"Amber, Musk, Vanilla","Violet, Patchouli, Rose, Jasmine, Olibanum",5,Faces,3.9,61,0,0,61
146,TOMMY HILFIGER,Tommy,340,130,100,EDT,Men,Spicy,"Amber, Cactus, Cotton Plant Blossom","Apple, Cranberries, Rose",5,Faces,3.9,61,210,61.76,61
147,Elizabeth Arden,5th Avenue,155,93,75,EDP,Women,Floral,"Amber, Tibetan Musk, Sandalwood, Iris, Vanilla","Bulgarian Pink Violet, Ylang-ylang, Jasmine, Indian Tuberose, Peach, Carnation, Nutmeg",4,Ryhana Perfume,4.2,25,62,40,25
148,ELIE SAAB,Girl Of Now,561,250,90,EDP,Women,Floral,"Patchouli, Cashmeran, Tonka bean, Almond milk","Orange Blossom, Magnoli, Almond",4.5,Beuatyone1,3.5,98,311,55.44,98
149,PACO RABANNE,One Million,426,287.95,200,EDT,Men,Woody,"Blonde, Leather, Patchouli, white wood, Amber","Rose Absolute, Cinnamon Spices",5,noon,4.2,98.1K,138.05,32.41,98100
150,Calvin Klein,Euphoria,289,94.55,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood, Suede","Black Basil, Sage, Cedar",4.7,Star.perfume,3.9,537,194.45,67.28,537
151,cacharel,Noa,299,154.75,100,EDT,Women,Fresh,"Woodsy transparent with coffee, incense touches","White flowers, ylang-ylang, rose",4.5,Star.perfume,3.9,537,144.25,48.24,537
152,GUESS,Seductive Homme,134,91.75,100,EDT,Men,Spicy,"Musk, Sandalwood, Patchouli, Amber","Vetiver, Violet Leaf, Orchid",4.5,Star.perfume,3.9,537,42.25,31.53,537
153,Al Fakhr,Ameer Al Oud Khususi,28,12,100,EDP,Unisex,"Woody, Sweet","Sandalwood, Cedarwood","Black Pepper, Cardamom",4.1,kikup,3.9,425,16,57.14,425
154,Alrehab,Anfas Aloud,215,85.5,60,EDP,Unisex,Arabian,oud,bergamot,5,Parisian Store,3.7,425,129.5,60.23,425
155,Givenchy,Pour Homme,219,117,100,EDT,Men,Spicy,"Labdanum, Ceder","Vetiver, Lavender",4.4,Al-Najm,3.7,347,102,46.58,347
156,Rasasi,Blue,36.95,36.95,100,EDT,Men,Spicy,"Amber, Woody","Geranium, Rose, Coriander, Pepper, Jasmine",5,hadayiq baris,3.8,122,0,0,122
157,GIORGIO ARMANI,Eau Pour Homme Reno 2013,361,186,50,EDT,Men,Citrus,"Patchouli, Oakmoss, Sandalwood","Cloves, Lily, Nutmeg",4.7,MOON LIGHT,3.8,76,175,48.48,76
158,LACOSTE,Touch Of Pink,238,95,50,EDT,Women,Floral,"Woodsy-Musk Base, Vanilla","Jasmine, Unexpected Carrot, Spicy Coriander",4.6,Cute Shop,4.4,59,143,60.08,59
159,GUESS,Gold,341,119,75,EDP,Women,Floral,"Sandalwood, Patchouli, Amber, Vetiver, Sensual Musk","Jasmine, Lotus, Intoxicating Seductress Rose",4.9,Beautiful Live,4.2,7,222,65.1,7
160,BVLGARI,Goldea The Roman Night,530,229.25,75,EDP,Women,Floral,"Patchouli, Black Musk, Vetiver, Moss","Black Peony, Night-Blooming Jasmine, Rose, Tuberose",4.7,noon,4.2,98.1K,300.75,56.75,98100
161,LACOSTE,Lacoste,368,115,100,EDT,Men,Citrus,"Cedar, Woody Notes, Amber, Vanilla, Musk","Black Pepper, Ginger, Jasmine, Almond",4.6,noon,4.2,98.1K,253,68.75,98100
162,Guerlain,Samsara,400,221.45,100,EDP,Women,Arabian,"sandalwood, Vanilla, Tonka Bean, Amber, Musk","Jasmine, Cold Woodsy Iris, Luscious Narcissus, Violet, Rose",4.7,noon,4.2,98.1K,178.55,44.64,98100
163,HUGO BOSS,The Scent,535,155,100,EDP,Women,Fruity,Cacao,Osmanthus,4.5,noon,4.2,98.1K,380,71.03,98100
164,JAGUAR,Classic Gold,118,79.95,100,EDT,Men,Woody,"Patchouli, Vanilla, Musk","Orange Blossom, Teak Wood",4.7,Star.perfume,3.9,537,38.05,32.25,537
165,Franck Olivier,Frank Olivier,139,87,75,EDP,Women,Musk,"Musk, Sandalwood, Vanilla","Jasmine, Ylang-Ylang, Heliotrope, Rose",4.7,AMLAQ,3.9,135,52,37.41,135
166,CHOPARD,Happy Spirit Forever,440,98.1,75,EDP,Women,Oriental,"Patchouli, Amber","Rosemary, Jasmine, Orange Blossom",4.9,AMLAQ,3.9,135,341.9,77.7,135
167,PACO RABANNE,Million,295,166.5,50,EDP,Women,Fresh,"Honey, Patchouli","Orange Flower Absolute, Jasmine Absolute",5,Number One,4.3,118,128.5,43.56,118
168,Pino Silvestre,Pino Silvester Original,72.5,72.5,125,EDT,Men,Woody,"Amber, Cedar, Musk, Tonka Beans, Moss","Spicy Notes Of Carnation, Nutmeg, Geranium, Thyme, Fir Tree",5,neo lek,3.5,88,0,0,88
169,MONTALE,Roses Musk,375,237.9,100,EDP,Women,Floral,Musk,Jasmine,5,Lolita ShopNo Exchange or Return,3.5,75,137.1,36.56,75
170,Kenneth Cole,Black,315,177.9,100,EDT,Men,Floral,"Amber, Musk, Violet Leaf, Suede","Nutmeg, Incense, Cedar, Lotus, Exotic Woods",4.5,Alabeer,3.9,33,137.1,43.52,33
171,Calvin Klein,Intense Euphoria,290,109.95,100,EDT,Men,Spicy,"Labdanum, Amber, Patchouli, Agarwood, Myrrh","Black Basil, Sage, Cedar, Vetiver",4.4,noon,4.2,98.1K,180.05,62.09,98100
172,MONTBLANC,Legend,445,214.55,200,EDT,Men,Spicy,"Sandalwood, Tonka Bean","Coumarin, Oak moss, Geranium, Rose, Red Apple, Dried Fruits",4.5,noon,4.2,98.1K,230.45,51.79,98100
174,Lattafa,Sheikh Al Shuyukh,63,32.75,50,EDP,Unisex,Aromatic,"Vetiver, Patchouli","Lavender Sage, Rosemary",4.8,noon,4.2,98.1K,30.25,48.02,98100
175,Dolce & Gabbana,The One,100,100,75,EDP,Women,Fruity,"Tobacco, Amber, Cedar","Orange Blossom, Ginger, Cardamom",5,Asrar Aljamal,3.9,537,0,0,537
176,Kenzo,World Intense,500,149.75,75,EDP,Women,Spicy,Vanilla,"Jasmine, Peony",4,Star.perfume,3.9,537,350.25,70.05,537
177,Dolce & Gabbana,L' Imperatrice 3,370,157.7,100,EDT,Women,Fruity,"Lemon Tree, Musk, Sandalwood","Watermelon, Cyclamen, Jasmine",4.7,AMLAQ,3.9,135,212.3,57.38,135
178,JAGUAR,Vision II,141,73.8,100,EDT,Men,Fruity,"Cedar, Musk, Patchouli, Wood","Geranium, Pepper, Sea Notes",5,Parvant Store,3.5,76,67.2,47.66,76
179,Mariah Carey,Forever,197,126,100,EDP,Women,Floral,"Musk, Wood","Gardenia, Tuberose",4,perfumes--addresses,4.4,59,71,36.04,59
180,BURBERRY,Brit Splash,278,194,100,EDT,Men,Fresh,"Moss, Musk, Vetiver","Cyclamen, Violet, Water Notes",4.6,Chansles,3.9,33,84,30.22,33
181,PRADA,Amber Intense,324,321.95,100,EDP,Men,Spicy,Creamy Amber,Vanilla,4.4,Ryhana Perfume,4.2,25,2.05,0.63,25
182,Milton Lloyd,Hawaii London,51,23,55,EDT,Women,Floral,"Woody Notes, Musk","Jasmine, Rose",4,hawas,4.2,9,28,54.9,9
183,Lattafa,Khalis Pure Oudi,68,37,100,EDP,Unisex,Woody,"Amber, Cedar, Guaiac Wood, Musk, Vanilla","Jasmine, Sandalwood",4.3,noon,4.2,98.1K,31,45.59,98100
184,GUESS,Marciano,111,83.3,100,EDP,Women,Citrus,"Vanilla, Musk, Woody Accords","Floral Rhythm Of Peony, Pink Honeysuckle, Intensively Clean, Sweet Jasmine",4.4,Star.perfume,3.9,537,27.7,24.95,537
185,DORALL COLLECTION,Oud Arabi,11.35,11.35,100,PDT,Unisex,Woody,"Patchouli, sandalwood, musk, amber","Oud, rose, guaiac wood, jasmine",3.9,Princess of beauty,3.8,467,0,0,467
186,COACH,Coach,36,8.7,2,EDP,Women,Floral,"Cashmeran, Suede, Musk","Turkish Rose, Gardenia",4.8,top langri,3.7,347,27.3,75.83,347
187,Mancera,Coco Vanille,446,285,120,EDP,Women,Vanilla,"White Musk, Woody Notes, Madagascar Vanilla","Jasmine, Ylang-Ylang, Tiare Flower",5,AMLAQ,3.9,135,161,36.1,135
188,BURBERRY,Weekend,197,160,100,EDP,Women,Oriental,"Violet Root, Iris, Nectarine, Peach Blossom, Rose Hip Red Cyclamen, Blue Hyacinth","Violet Root, Iris, Nectarine, Peach Blossom, Rose Hip Red Cyclamen, Blue Hyacinth",4.6,AMLAQ,3.9,135,37,18.78,135
189,Estee Lauder,Private Collection,461,199.35,50,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber, Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-Ylang, Coriander",4.6,Rose Gallary,3.9,118,261.65,56.76,118
190,Marbert,Man Pure,114,54.7,125,EDT,Men,Citrus,"Oak Moss, Cedar, Sandalwood, Amber, Musk","Geranium, Jasmine, Lily Of The Valley, Majorjam, Coriander, Nutmeg",4.9,Rayhanti,3.8,88,59.3,52.02,88
192,Givenchy,Gentlemen Only,627,260,100,EDT,Men,Woody,"Skin Accord, Tonka Bean","Cedar Wood, Patchouli Heart, Leather",4,Faces,3.9,61,367,58.53,61
193,JAGUAR,Classic Amber,87,85,100,EDT,Men,Arabian,"Cedar Wood, Patchouli, Vanilla, Leather, Vetiver, Labdanum, Musk","Cinnamon, Black Pepper, Apple, Orange Blossoms, Elemi Resin",4.3,Abu Al Tayyeb Perfumes,3.9,33,2,2.3,33
194,AIGNER,Debut,220,143.75,100,EDP,Women,Citrus,"Patchouli, Cedar, Vanilla, White Musk, Oak Moss","Luminous Orange Blossom, Water Lily, Jasmine, Sunflower Seed",4.5,noon,4.2,98.1K,76.25,34.66,98100
195,J.CASANOVA,Pandora,142,88.95,100,EDP,Women,Floral,"Cedar, Moss, Musk, Amber, Sandalwood","Lily-of-the-valley, Rose, Jasmine, Narcissus, Orchid",5,noon,4.2,98.1K,53.05,37.36,98100
196,Roberto Cavalli,Serpentine,286,162.85,100,EDP,Women,Arabian,"Tolu Balsam, Sandalwood, Amber","Violet Leaf, Tiare Flower, Pepper, Frangipani",4.4,noon,4.2,98.1K,123.15,43.06,98100
197,BVLGARI,Man in Black,483,200.95,100,EDP,Men,Woody,"Benzoin, Guaiac Wood, Tonka Beans","Iris, Leather, Tuberose",4.7,Star.perfume,3.9,537,282.05,58.4,537
198,MONTBLANC,Lady Emblem,8.5,8.5,2,EDT,Men,Floral,"Vanilla, Amber, Musk, Patchouli","Jasmine, Geranium, Neroli, Ylang-Ylang",5,Queen Beauty,3.8,467,0,0,467
199,Al Fakhr,Ameer Al Oud Khususi,28,12,100,EDP,Unisex,"Woody, Sweet","Sandalwood, Cedarwood","Black Pepper, Cardamom",4.1,kikup,3.6,425,16,57.14,425
200,LACOSTE,Touch Of Pink,249,90,90,EDT,Women,Floral,"Sandalwood, Musk, Vanilla","Carrot Seeds, Coriander, Jasmine, Violet Leaf, Cardamom",5,Cute Shop,3.7,347,159,63.86,347
201,Dior,Addict,715,333.8,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood, Pralines","Honeysuckle, Gardenia, Jasmine",5,AMLAQ,3.9,135,381.2,53.31,135
202,BURBERRY,My Burberry Bl,699,255.85,90,EDT,Women,Floral,"Amber, Patchouli","Candied Rose, Peach Nectar",5,AMLAQ,3.9,135,443.15,63.4,135
203,joop,Homme,170,52.15,75,EDT,Men,Citrus,"Sandalwood, Tonka Bean, Patchouli, Vanilla","Jasmine, Heliotrope, Lily-Of-The-Valley, Cardamom, Cinnamon",4.7,hadayiq baris,3.8,122,117.85,69.32,122
204,TED LAPIDUS,Creation,101,50,100,EDT,Women,Floral,"Jasmine, Rose, Tuberose, Carnation","Jasmine, Rose, Tuberose, Carnation",4.7,alkhalijiah  perfume,3.5,88,51,50.5,88
205,LOEWE,Esencia,230,219.9,150,EDT,Men,Woody,"Tonka Bean, Leather, Sandalwood, Fir, Amber, Patchouli, Musk, Oakmoss, Vetiver, Cedar, Styrax","Clary Sage, Nutmeg, Basil, Jasmine, Neroli, Lily Of The Valley, Rose, Pine Tree Needles, Geranium, Black Currant",5,Y,3.5,75,10.1,4.39,75
206,Benetton,Hot,124,29.85,100,EDT,Women,Fruity,"Sandalwood, Amber, Musk, Vanilla, Oak Moss, Cedar","Apricot, Iris, Water Jasmine, Lily Of The Valley",5,Beauty Gallery,3.7,59,94.15,75.93,59
207,KORLOFF,In White,100.15,100.15,88,EDT,Men,Citrus,"Cashmeran, Virginia Cedar, Musk, Tonka Bean","Lavender, African Orange Flower, Clary Sage",4.8,noon,4.2,98.1K,0,0,98100
208,LACOSTE,Lacoste,310,98.95,50,EDP,Women,Floral,"Himalayan Cedar, Warm Woman Skin Accord, Sandal, Incense","Heliotrope, Jasmine In An Alliance with Hibiscus Blossom, Bulgarian Rose",4.6,noon,4.2,98.1K,211.05,68.08,98100
209,LACOSTE,Lacoste,368,115,100,EDT,Men,Citrus,"Cedar, Woody Notes, Amber, Vanilla, Musk","Black Pepper, Ginger, Jasmine, Almond",4.6,noon,4.2,98.1K,253,68.75,98100
210,Sedr Al-Khaleej Perfumes,Love Touch,111,49.85,100,EDP,Women,Fresh,"Woody Leather, Musk","Tiare Flower, Rose",5,noon,4.2,98.1K,61.15,55.09,98100
211,BURBERRY,My Burberry Blush,699,199.9,90,EDP,Women,Arabian,"Jasmine, Wisteria","Rose petals, Green apple, Geranium",4.5,noon,4.2,98.1K,499.1,71.4,98100
212,Lattafa,Rouat Al Oud,144,44.25,100,EDP,Unisex,Spicy,"Cedarwood, Patchouli, Vetiver, Musk","Cardamom, Spicy Notes",4.3,noon,4.2,98.1K,99.75,69.27,98100
213,LANVIN,Rumeur,154,71,100,EDP,Women,Floral,"Amber, Patchouli, Musk","Orange Blossom, Plum, Rose, Jasmine, Lily Of The Valley",5,top langri,3.7,347,83,53.9,347
215,CHLOE,Love Story,383,237,50,EDP,Men,Floral,"Sandalwood, Amber, Musk, Vetiver, Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-Valley, Geranium",4,hadayiq baris,3.8,122,146,38.12,122
218,Jimmy Choo,jimmy,441,188.95,100,EDP,Women,Floral,"Coffee, patchouli",Orchid,5,Faces,3.9,61,252.05,57.15,61
219,Rasasi,Blue,53,35,100,EDT,Men,Spicy,"Amber, Woody","Coriander, Geranium, Jasmine, Rose, Pepper",4.3,hawas,4.2,9,18,33.96,9
220,Dunhill,Desire Silver,192,118.95,100,EDT,Men,Floral,"Birch, Vetiver, Amber","Water Notes, Violet Leaf, Cardamom",5,noon,4.2,98.1K,73.05,38.05,98100
221,Calvin Klein,Euphoria Amber Gold,327,166,100,EDP,Unisex,Arabian,"Lemon, Mint, Wood Moss","Sandalwood, Cedar",5,noon,4.2,98.1K,161,49.24,98100
222,Britney Spears,Fantasy,189,89.95,100,EDP,Women,Floral,"Creamy Musk, Orris Root, Sensual Woods","Cupcakes, White Chocolate Orchid, Jasmine Petals",5,noon,4.2,98.1K,99.05,52.41,98100
223,GUCCI,Guilty Absolute,515,299.85,90,EDP,Men,Woody,"Woody Notes, Vetiver","Patchouli, Cypress",4.3,noon,4.2,98.1K,215.15,41.78,98100
224,joop,Homme,170,57,125,EDT,Men,Citrus,"Patchouli, sandalwood, tonka beans, vanilla","Cardamom, cinnamon, heliotrope, jasmine, lily of the valley",4.2,Cute Shop,4.2,98,113,66.47,98
226,GUESS,Guess Pink,105,92.7,75,EDP,Women,Fruity,"Amber, Oakmoss, Cedar","Peony, Magnolia, Freesia, Peach, Jasmine, Ylang Ylang, Lily Of The Valley",5,the beauty,4.1,538,12.3,11.71,538
227,Calvin Klein,One Shock,383,104.7,200,EDT,Men,Spicy,"Vetiver, Sandalwood, Amber","Osmanthus, Black Pepper, Cardamom, Black Basil",5,AMLAQ,3.9,135,278.3,72.66,135
228,Lancome,Idol,739,299,50,EDP,Women,Floral,"White Musk, Vanilla","Turkish Rose, Rose De Mai Indian, Jasmine",5,hadayiq baris,3.8,122,440,59.54,122
229,Dolce & Gabbana,The Only One 2,614,137.9,100,EDP,Women,Floral,"Tonka, Patchouli, Ambergris, Amber Woods","Red Rose, Violet, Coffee",4.3,hadayiq baris,3.8,122,476.1,77.54,122
230,CARTIER,Declaration,390,240,100,EDP,Men,Fruity,"Cedar, Leather, Amberwood, BenzoinTolu,  Balsam Vetiver","Cardamom, Spices, Cumin",5,PARFUM.1990,3.6,111,150,38.46,111
231,Marbert,Man,51.95,51.95,125,EDT,Men,Woody,"Musk, Sandalwood, Patchouli, Oak Moss, Virginia Cedar, Amber, Leather","Geranium, Jasmine, Lily Of The Valley, Majorjam, Coriander, Nutmeg",5,neo lek,3.5,88,0,0,88
232,Calvin Klein,One Shock,176,106,200,EDT,Men,Spicy,"Musk, Patchouli, Amber, Tobacco","Black Pepper, Lively Black Basil, Resinous Cardamom",5,Dior Fragrances,3.9,69,70,39.77,69
233,BURBERRY,Brit Rhythm Intense,370,136.65,90,EDT,Men,Spicy,"Cashmere Wood, Coumarin, Guaiac Wood, Leather, Sandalwood, Tonka Beans, Vanilla","Amber, Basil, Lavender, Mint, Patchouli",4.6,noon,4.2,98.1K,233.35,63.07,98100
234,UNITED COLORS OF BENETTON,Cold Silver,72,29.35,100,EDT,Men,Fresh,"Silver Moss, Mineral Amber, Musk","Cardamom, Silver Sage, Driftwood",4.8,noon,4.2,98.1K,42.65,59.24,98100
235,Lancome,Miracle,514,242,100,EDP,Women,Arabian,"Amber, Musk, Jasmine","Magnolia, Ginger, Mandarin Orange, Pepper, Jasmine",5,Parfume-Stor,4.2,98,272,52.92,98
236,CHOPARD,Rose Malaki,520,189.95,80,EDP,Women,Spicy,"Cedarwood, Patchouli, Vanilla","Rose Absolu, Rose Petal Accord, Smoky Leather",4.3,noon,4.2,98.1K,330.05,63.47,98100
237,LACOSTE,Blanc Pour Homme,356,95,100,EDT,Men,Woody,"Leather, Suede, Cedar","Mexican Tuberose, Ylang-Ylang",5,Cute Shop,3.9,537,261,73.31,537
238,JAGUAR,Classic Red,64.95,64.95,100,EDT,Men,Fruity,"Patchouli, Cedar, Amber, Tonka, Vanilla","Jasmine, Pepper, Ozonic Notes",4.4,Star.perfume,3.9,537,0,0,537
239,Lancome,La Vie Est Belle,465,233.95,50,EDP,Women,Floral,"Patchouli, Tonka Bean, Vanilla, Praline","Iris, jasmine, Orange Blossom",5,Grass gulf,3.9,537,231.05,49.69,537
240,Givenchy,Dahlia Divin Nude,549,300,75,EDP,Women,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",4.5,Beautify,3.6,531,249,45.36,531
241,Dolce & Gabbana,The One,299,190,100,EDT,Men,Spicy,"Ambery, Cedar wood","Cardamom, Ginger",4.7,hadayiq baris,3.8,122,109,36.45,122
242,Estee Lauder,Private Collection,461,199.35,50,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber, Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-Ylang, Coriander",4.6,Rose Gallary,3.5,118,261.65,56.76,118
243,UNITED COLORS OF BENETTON,United Colors Of Benetton Hot,111,28,100,EDT,Men,Woody,"Sandalwood, Amber, Musk, Vanilla, Oakmoss, Cedar","Apricot, Iris, Water Jasmine, Lily-Of-The-Valley",4,Dior Fragrances,3.7,59,83,74.77,59
244,UNITED COLORS OF BENETTON,Cold,70,27.2,100,EDT,Men,Spicy,"Patchouli, Vetiver, White Musk","Coriander, Lavender, Geranium",4.4,Perfume World Store,3.6,27,42.8,61.14,27
245,CAROLINA HERRERA,Ch Men Sports,285,115,50,EDT,Men,Woody,"Sandalwood, Oak Moss, Vetiver","Sea Notes Mixed With Spices, Aromatic Accords – Sichuan Pepper, Juniper Berries",4.3,Pink Box,4.2,7,170,59.65,7
246,CHLOE,Nomade,557,290.1,75,EDP,Women,Floral,"Oakmoss, Amberwood, Patchoulli, Sandalwood, White Musk","Freesia, Jasmine, Rose, Peach",4.6,noon,4.2,98.1K,266.9,47.92,98100
248,Mancera,Cedrat Boise,413,253,120,EDP,Unisex,"Aromatic,Citrus","Leather, Oakmoss, Vanilla, Woody Notes",Patchouli Leaves,5,Star.perfume,3.7,537,160,38.74,537
249,Dunhill,Edition,287,108.45,100,EDT,Men,Spicy,"Vetiver, Sandalwood, Cedar, Tonka Bean","Carnation, Geranium, Jasmine, Clary Sage",4.6,AMLAQ,3.9,135,178.55,62.21,135
250,CARTIER,Pasha Edition Noir,478,198.55,100,EDT,Men,Oriental,"Woody Amber, Cedar Accords","Warm, Cuddly Aromas",4.6,AMLAQ,3.9,135,279.45,58.46,135
251,Givenchy,Blue Label,380,143.85,100,EDT,Men,Spicy,"Cedar, Olibanum, Vetiver","Cardamom, Lavender, Pepper",4.8,hadayiq baris,3.8,122,236.15,62.14,122
252,Dior,Joy,500,360,90,EDP,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",4,Golden Perfumes,3.6,113,140,28,113
253,LALIQUE,Encre Noire,140,136,100,EDT,Men,Woody,"Musk, Cashmere Wood","Haitian, Bourbon Vetiver",4.5,Abu Al Tayyeb Perfumes,3.6,76,4,2.86,76
254,Calvin Klein,CK One,220,98,100,EDT,Unisex,Citrus,"Sandalwood, Amber, Musk, Cedar, Oakmoss, Green Tea, Green Accord","Nutmeg, Violet, Orris Root, Lily-of-the-valley, Rose, Freesia, Jasmine",4.5,Spicebomb,3.8,66,122,55.45,66
255,PACO RABANNE,Black XS,429,310,100,EDT,Men,Woody,"Black Amber, Patchouli","Praline, Cinnamon",4.3,Parfume-Stor,3.9,61,119,27.74,61
256,AZZARO,Pour Homme,225,133,100,EDT,Men,Woody,"Leather, tonka bean, amber, musk, oakmoss","Sandalwood, juniper berries, patchouli, vetiver, cedar, cardamom",5,Instant,3.7,44,92,40.89,44
258,Rasasi,Relation,126,55,50,EDP,Women,Fresh,"Musk, Vanilla","Bulgarian Rose, Lilac, Jasmine",5,Willow flower,4.3,5,71,56.35,5
259,ESCADA,Magnetism,395,138.95,75,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver, Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-Of-The-Valley, Rose, Almond Blossom",5,noon,4.2,98.1K,256.05,64.82,98100
260,BOUCHERON,Pour Homme,340,165.7,100,EDP,Men,Woody,"Patchouli, Sandalwood","Coriander, Basil",4.5,noon,4.2,98.1K,174.3,51.26,98100
261,DORALL COLLECTION,Eventful,29,8.3,100,EDT,Women,Woody,Musk,"Rose, Ylang - Ylang",4.5,B.A.G,3.7,14.1K,20.7,71.38,14100
262,Yves Saint Laurent,Body Kouros,510,229.35,100,EDT,Men,Woody,Benzoin,"Cedar, Sage",5,Star.perfume,3.9,537,280.65,55.03,537
263,VERSACE,L'Homme,185,145,100,EDT,Men,Citrus,"Amber, Labdanum, Leather, Musk, Tonka Beans, Vanilla","Carnation, Cedar, Cinnamon, Jasmine, Patchouli, Rose, Sandalwood",4.2,AMLAQ,3.9,135,40,21.62,135
264,ESCADA,Magnetism,394,139.4,75,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver, Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-of-the-valley, Rose",4.9,AMLAQ,3.9,135,254.6,64.62,135
265,BURBERRY,My Burberry Bl,699,255.85,90,EDT,Women,Floral,"Amber, Patchouli","Candied Rose, Peach Nectar",5,AMLAQ,3.9,135,443.15,63.4,135
266,DAVIDOFF,Cool Water,360,76.95,125,EDT,Men,Woody,"Amber, Cedar, Musk, Oakmoss, Tobacco","Geranium, Jasmine, Neroli, Sandalwood",4.5,hadayiq baris,3.8,122,283.05,78.63,122
267,joop,Go,175,103.95,100,EDT,Men,Fresh,"Musk, Balsam Fir","Cypress, Violet, Bourbon Geranium",4.4,Abu Al Tayyeb Perfumes,3.6,111,71.05,40.6,111
268,Jacques Bogart,Silver Scent,140,55,100,EDT,Men,Arabian,"Vetiver, Litchi, Tonka Bean, Teak Wood","Cardamom, Rosemary, Nutmeg, Lavender, Coriander, Geranium",4.5,Lady Style,4.3,88,85,60.71,88
269,Paris Hilton,Fairy Dust,94,94,100,EDP,Women,Floral,"Vanilla, Musk, Pacsuli","Peach, gardenia, lotus",3.7,fajr-perfume,3.8,23,0,0,23
271,NARCISO RODRIGUEZ,Narciso,591,284.95,90,EDP,Women,Floral,"Vetiver, White Cedar Extract, Cedar","Musk, Gardenia, White Rose",5,noon,4.2,98.1K,306.05,51.79,98100
272,Lattafa,Rouat Al Oud,144,44.25,100,EDP,Unisex,Spicy,"Cedarwood, Patchouli, Vetiver, Musk","Cardamom, Spicy Notes",4.3,noon,4.2,98.1K,99.75,69.27,98100
273,Jimmy Choo,jimmy,329,185,100,EDT,Men,Fruity,"Amber, Patchouli, Suede","Geranium, Pineapple Leaf, Pink Pepper",4.4,Star.perfume,3.9,537,144,43.77,537
274,MONTBLANC,Explorer,12,9.5,2,EDP,Men,Woody,"Vetiver, Leather, Cedarwood","Patchouli, Mahonial, Ambrofix",4.8,Princess of beauty,3.8,467,2.5,20.83,467
275,Calvin Klein,Euphoria,268,127.25,100,EDP,Men,Woody,"Black Violet, Liquid Amber, Mahogany, Cream Accords","Black Orchid, Champaca Flower",4.8,King-Perfume,3.6,450,140.75,52.52,450
276,Ferrari,Man In Red,235,119.9,100,EDT,Men,Fruity,"Cedar, Tonka Bean, Labdanum","Lavender, Yellow Plum, Orange Blossom",5,top langri,4.4,347,115.1,48.98,347
278,Ferrari,Scuderia Red,218,96.65,125,EDT,Men,Fruity,"Cedar, Sandalwood, Moss, Vanilla","Jasmine, Geranium, Orris, Nutmeg",5,AMLAQ,3.9,135,121.35,55.67,135
279,Jacomo,Silences,158,143.95,100,EDP,Women,Floral,"Woody, musky","Danmask Rose, iris, narcissus",5,AMLAQ,3.9,135,14.05,8.89,135
280,jil sander,Jil Sander,310,175,125,EDT,Men,Spicy,"Oakmoss, Cedar, Nutmeg, Woody Notes","Carnation, Geranium, Cinnamon, Patchouli",5,hadayiq baris,3.8,122,135,43.55,122
